Total immigrants;Total emigrants;Migration increase;Country;Continent;code;iso_alpha
100;43;57;Afghanistan;asia;4;AFG
35;58;-23;Bangladesh;asia;50;BGD
0;1;-1;Bahrain;asia;48;BHR
0;0;0;Bhutan;asia;64;BTN
359;69;290;Armenia;asia;51;ARM
141;54;87;Vietnam;asia;704;VNM
565;243;322;Georgia;asia;268;GEO
58;29;29;Yemen;asia;887;YEM
485;337;148;Israel;asia;376;ISR
1823;1362;461;India;asia;356;IND
10;13;-3;Indonesia;asia;360;IDN
232;276;-44;Iraq;asia;368;IRQ
402;696;-294;Iran (Islamic Republic of);asia;364;IRN
224;366;-142;Jordan;asia;400;JOR
274;214;60;Kazakhstan;asia;398;KAZ
1;0;1;Cambodia;asia;116;KHM
60;28;32;Kyrgyzstan;asia;417;KGZ
740;819;-79;China;asia;156;CHN
10;10;0;Cyprus;asia;196;CYP
9;9;0;Democratic People's Republic of Korea;asia;408;PRK
63;71;-8;Republic of Korea;asia;410;KOR
36;21;15;Kuwait;asia;414;KWT
0;0;0;Lao People's Democratic Republic;asia;418;LAO
372;240;132;Lebanon;asia;422;LBN
5;3;2;Malaysia;asia;458;MYS
23;10;13;Mongolia;asia;496;MNG
0;0;0;Myanmar;asia;104;MMR
45;11;34;Nepal;asia;524;NPL
58;38;20;United Arab Emirates;asia;784;ARE
2;2;0;Oman;asia;512;OMN
50;67;-17;State of Palestine;asia;275;PSE
211;103;108;Pakistan;asia;586;PAK
45;27;18;Saudi Arabia;asia;682;SAU
1;3;-2;Singapore;asia;702;SGP
216;95;121;Syrian Arab Republic;asia;760;SYR
188;50;138;Tajikistan;asia;762;TJK
61;53;8;Thailand;asia;764;THA
2199;1207;992;Turkey;asia;792;TUR
925;543;382;Turkmenistan;asia;795;TKM
987;556;431;Uzbekistan;asia;860;UZB
27;10;17;Philippines;asia;608;PHL
9;8;1;Sri Lanka;asia;144;LKA
22;29;-7;Japan;asia;392;JPN
314;233;81;Algeria;africa;12;DZA
17;34;-17;Angola;africa;24;AGO
3;0;3;Benin;africa;204;BEN
2;1;1;Botswana;africa;72;BWA
1;0;1;Burkina Faso;africa;854;BFA
3;0;3;Burundi;africa;108;BDI
2;3;-1;Gabon;africa;266;GAB
4;7;-3;Gambia;africa;270;GMB
150;233;-83;Ghana;africa;288;GHA
35;19;16;Guinea;africa;324;GIN
0;0;0;Guinea-Bissau;africa;624;GNB
0;0;0;Djibouti;africa;262;DJI
3;1;2;Equatorial Guinea;africa;226;GNQ
0;0;0;Eritrea;africa;232;ERI
12;11;1;Ethiopia;africa;231;ETH
522;439;83;Egypt;africa;818;EGY
15;17;-2;Zambia;africa;894;ZMB
24;31;-7;Zimbabwe;africa;716;ZWE
94;87;7;Cameroon;africa;120;CMR
26;9;17;Kenya;africa;404;KEN
89;48;41;Congo;africa;178;COG
51;15;36;Congo;africa;178;COG
5;2;3;Liberia;africa;430;LBR
175;115;60;Libya;africa;434;LBY
1;2;-1;Mauritania;africa;478;MRT
3;3;0;Madagascar;africa;450;MDG
2;0;2;Malawi;africa;454;MWI
4;0;4;Mali;africa;466;MLI
1422;784;638;Morocco;africa;504;MAR
1;1;0;Mozambique;africa;508;MOZ
5;10;-5;Namibia;africa;516;NAM
9;7;2;Niger;africa;562;NER
1000;575;425;Nigeria;africa;566;NGA
21;13;8;South Africa;africa;710;ZAF
11;4;7;Rwanda;africa;646;RWA
8;2;6;Senegal;africa;686;SEN
24;4;20;Somalia;africa;706;SOM
106;43;63;Sudan;africa;729;SDN
23;14;9;Tanzania;africa;834;TZA
0;0;0;Togo;africa;768;TGO
206;76;130;Tunisia;africa;788;TUN
7;6;1;Uganda;africa;800;UGA
3;1;2;Chad;africa;148;TCD
26;19;7;Australia;oceania;36;AUS
5;3;2;New Zealand;oceania;554;NZL
0;0;0;Solomon Islands;oceania;90;SLB
0;0;0;Fiji;oceania;242;FJI
